Speed,Spin,Top_RPM,Bottom_RPM
0.0,-5,713.0,1484.0
1.0,-5,714.0,1564.0
2.0,-5,716.0,1914.0
3.0,-5,878.0,2278.0
4.0,-5,1274.0,2721.0
5.0,-5,1634.0,3058.0
6.0,-5,1991.0,3430.0
7.0,-5,2202.0,3632.0
8.0,-5,2563.0,3697.0
9.0,-5,2938.0,3689.0
10.0,-5,2933.0,3694.0
0.0,-4,715.0,1373.0
1.0,-4,715.0,1630.0
2.0,-4,780.0,2019.0
3.0,-4,1073.0,2314.0
4.0,-4,1410.0,2666.0
5.0,-4,1722.0,2980.0
6.0,-4,2047.0,3322.0
7.0,-4,2331.0,3626.0
8.0,-4,2648.0,3677.0
9.0,-4,2974.0,3675.0
10.0,-4,3095.0,3678.0
0.0,-3,715.0,1238.0
1.0,-3,715.0,1466.0
2.0,-3,865.0,1796.0
3.0,-3,1180.0,2123.0
4.0,-3,1523.0,2470.0
5.0,-3,1835.0,2790.0
6.0,-3,2156.0,3114.0
7.0,-3,2422.0,3390.0
8.0,-3,2818.0,3651.0
9.0,-3,3084.0,3651.0
10.0,-3,3145.0,3651.0
0.0,-2,721.0,1054.0
1.0,-2,721.0,1208.0
2.0,-2,1011.0,1561.0
3.0,-2,1328.0,1920.0
4.0,-2,1706.0,2271.0
5.0,-2,1984.0,2574.0
6.0,-2,2381.0,2960.0
7.0,-2,2625.0,3185.0
8.0,-2,2972.0,3568.0
9.0,-2,3245.0,3603.0
10.0,-2,3302.0,3622.0
0.0,-1,705.0,870.0
1.0,-1,857.0,1057.0
2.0,-1,1135.0,1351.0
3.0,-1,1548.0,1739.0
4.0,-1,1825.0,2020.0
5.0,-1,2187.0,2397.0
6.0,-1,2484.0,2706.0
7.0,-1,2747.0,2940.0
8.0,-1,3174.0,3363.0
9.0,-1,3403.0,3558.0
10.0,-1,3482.0,3566.0
0.0,0,739.0,767.0
1.0,0,968.0,1000.0
2.0,0,1226.0,1260.0
3.0,0,1589.0,1636.0
4.0,0,1882.0,1932.0
5.0,0,2245.0,2292.0
6.0,0,2614.0,2668.0
7.0,0,2795.0,2855.0
8.0,0,3191.0,3259.0
9.0,0,3458.0,3520.0
10.0,0,3513.0,3575.0
0.0,1,870.0,705.0
1.0,1,1057.0,857.0
2.0,1,1351.0,1135.0
3.0,1,1739.0,1548.0
4.0,1,2020.0,1825.0
5.0,1,2397.0,2187.0
6.0,1,2706.0,2484.0
7.0,1,2940.0,2747.0
8.0,1,3363.0,3174.0
9.0,1,3558.0,3403.0
10.0,1,3566.0,3482.0
0.0,2,1054.0,721.0
1.0,2,1208.0,721.0
2.0,2,1561.0,1011.0
3.0,2,1920.0,1328.0
4.0,2,2271.0,1706.0
5.0,2,2574.0,1984.0
6.0,2,2960.0,2381.0
7.0,2,3185.0,2625.0
8.0,2,3568.0,2972.0
9.0,2,3603.0,3245.0
10.0,2,3622.0,3302.0
0.0,3,1238.0,715.0
1.0,3,1466.0,715.0
2.0,3,1796.0,865.0
3.0,3,2123.0,1180.0
4.0,3,2470.0,1523.0
5.0,3,2790.0,1835.0
6.0,3,3114.0,2156.0
7.0,3,3390.0,2422.0
8.0,3,3651.0,2818.0
9.0,3,3651.0,3084.0
10.0,3,3651.0,3145.0
0.0,4,1373.0,715.0
1.0,4,1630.0,715.0
2.0,4,2019.0,780.0
3.0,4,2314.0,1073.0
4.0,4,2666.0,1410.0
5.0,4,2980.0,1722.0
6.0,4,3322.0,2047.0
7.0,4,3626.0,2331.0
8.0,4,3677.0,2648.0
9.0,4,3675.0,2974.0
10.0,4,3678.0,3095.0
0.0,5,1484.0,713.0
1.0,5,1564.0,714.0
2.0,5,1914.0,716.0
3.0,5,2278.0,878.0
4.0,5,2721.0,1274.0
5.0,5,3058.0,1634.0
6.0,5,3430.0,1991.0
7.0,5,3632.0,2202.0
8.0,5,3697.0,2563.0
9.0,5,3689.0,2938.0
10.0,5,3694.0,2933.0
